,id,name,alias,value,status,valid,description,stationId,datetime
75,9,Rain,,0.0,1,True,,275,2021-11-16 06:15:00+02:00
76,9,Rain,,0.0,1,True,,275,2021-11-16 06:20:00+02:00
77,9,Rain,,0.0,1,True,,275,2021-11-16 06:25:00+02:00
78,9,Rain,,0.0,1,True,,275,2021-11-16 06:30:00+02:00
79,9,Rain,,0.0,1,True,,275,2021-11-16 06:35:00+02:00
80,9,Rain,,0.0,1,True,,275,2021-11-16 06:40:00+02:00
81,9,Rain,,0.0,1,True,,275,2021-11-16 06:45:00+02:00
82,9,Rain,,0.0,1,True,,275,2021-11-16 06:50:00+02:00
83,9,Rain,,0.0,1,True,,275,2021-11-16 06:55:00+02:00
84,9,Rain,,0.0,1,True,,275,2021-11-16 07:00:00+02:00
85,9,Rain,,0.0,1,True,,275,2021-11-16 07:05:00+02:00
86,9,Rain,,0.0,1,True,,275,2021-11-16 07:10:00+02:00
87,9,Rain,,0.0,1,True,,275,2021-11-16 07:15:00+02:00
88,9,Rain,,0.0,1,True,,275,2021-11-16 07:20:00+02:00
89,9,Rain,,0.0,1,True,,275,2021-11-16 07:25:00+02:00
90,9,Rain,,0.0,1,True,,275,2021-11-16 07:30:00+02:00
91,9,Rain,,0.0,1,True,,275,2021-11-16 07:35:00+02:00
92,9,Rain,,0.0,1,True,,275,2021-11-16 07:40:00+02:00
93,9,Rain,,0.0,1,True,,275,2021-11-16 07:45:00+02:00
94,9,Rain,,0.0,1,True,,275,2021-11-16 07:50:00+02:00
95,9,Rain,,0.0,1,True,,275,2021-11-16 07:55:00+02:00
96,9,Rain,,0.0,1,True,,275,2021-11-16 08:00:00+02:00
97,9,Rain,,0.0,1,True,,275,2021-11-16 08:05:00+02:00
98,9,Rain,,0.0,1,True,,275,2021-11-16 08:10:00+02:00
99,9,Rain,,0.0,1,True,,275,2021-11-16 08:15:00+02:00
100,9,Rain,,0.0,1,True,,275,2021-11-16 08:20:00+02:00
101,9,Rain,,0.0,1,True,,275,2021-11-16 08:25:00+02:00
102,9,Rain,,0.0,1,True,,275,2021-11-16 08:30:00+02:00
